time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819174.109456   31.887    0.797    0.689    -0.279    -1.000 | -0.063    -0.047    -0.037
1768819174.136876   15.894    0.397    -3.000    1.887    -1.000 | -0.063    -0.047    -0.037
1768819174.162842   6.710    0.168    -2.634    -0.880    -1.000 | -0.062    -0.056    -0.038
1768819174.191396   40.000    1.000    -1.600    -1.459    -1.000 | -0.062    -0.056    -0.038
1768819174.219455   32.239    0.806    -2.066    0.134    -0.817 | -0.063    -0.063    -0.037
1768819174.243237   15.551    0.389    -2.929    -1.147    -0.982 | -0.063    -0.063    -0.037
1768819174.269079   11.290    0.282    -2.836    -0.164    -1.000 | -0.066    -0.075    -0.033
1768819174.297002   0.000    0.000    0.649    -2.387    -1.000 | -0.066    -0.075    -0.033
1768819174.326627   0.000    0.000    -3.000    -1.750    -1.000 | -0.068    -0.080    -0.031
1768819174.360588   0.000    0.000    -2.243    -3.000    -0.967 | -0.068    -0.080    -0.031
1768819174.391026   26.518    0.663    -1.732    -1.513    -0.863 | -0.072    -0.085    -0.028
1768819174.417199   25.550    0.639    -1.701    -2.501    -1.000 | -0.072    -0.085    -0.028
1768819174.447246   11.783    0.295    -1.014    -2.684    -0.936 | -0.074    -0.091    -0.020
1768819174.472401   33.205    0.830    2.075    -2.763    -1.000 | -0.074    -0.091    -0.020
1768819174.500793   34.079    0.852    -0.686    -2.329    -1.000 | -0.073    -0.094    -0.019
1768819174.526499   31.468    0.787    -2.433    -3.000    -0.829 | -0.073    -0.094    -0.019
1768819174.552998   0.000    0.000    0.723    -2.530    -1.000 | -0.075    -0.093    -0.019
1768819174.578510   40.000    1.000    1.995    -1.827    -0.837 | -0.075    -0.093    -0.019
1768819174.610065   16.503    0.413    0.292    -3.000    -0.885 | -0.079    -0.091    -0.020
1768819174.641336   39.120    0.978    -0.104    -2.782    -1.000 | -0.079    -0.091    -0.020
1768819174.668557   5.559    0.139    2.519    -1.270    -0.971 | -0.082    -0.088    -0.021
1768819174.697061   21.133    0.528    1.285    0.943    -1.000 | -0.082    -0.088    -0.021
1768819174.725978   6.096    0.152    -2.754    1.689    -1.000 | -0.086    -0.085    -0.022
1768819174.754097   30.571    0.764    -0.244    -2.083    -1.000 | -0.086    -0.085    -0.022
1768819174.783674   3.499    0.087    0.333    -2.477    -1.000 | -0.090    -0.081    -0.024
1768819174.808859   6.496    0.162    0.986    2.145    -1.000 | -0.090    -0.081    -0.024
1768819174.834266   17.359    0.434    2.207    -2.175    -0.998 | -0.091    -0.078    -0.022
1768819174.861267   18.143    0.454    -0.615    1.946    -1.000 | -0.091    -0.078    -0.022
1768819174.890244   28.342    0.709    1.661    1.203    -1.000 | -0.089    -0.075    -0.021
1768819174.935830   35.891    0.897    -0.689    2.066    -1.000 | -0.089    -0.075    -0.021
1768819174.975209   29.758    0.744    -2.561    1.921    -1.000 | -0.090    -0.073    -0.020
1768819175.018523   28.124    0.703    -1.943    1.915    -1.000 | -0.090    -0.073    -0.020
1768819175.052721   16.445    0.411    -0.212    1.382    -0.931 | -0.091    -0.071    -0.020
1768819175.085284   9.982    0.250    -2.535    1.489    -1.000 | -0.091    -0.071    -0.020
1768819175.116071   40.000    1.000    0.183    2.413    -0.979 | -0.090    -0.069    -0.022
1768819175.144155   0.000    0.000    -3.000    -1.551    -0.989 | -0.090    -0.069    -0.022
1768819175.169295   34.622    0.866    -2.425    -0.520    -1.000 | -0.087    -0.067    -0.024
1768819175.197203   37.105    0.928    -3.000    0.026    -0.998 | -0.087    -0.067    -0.024
1768819175.234315   8.188    0.205    -2.970    -0.340    -1.000 | -0.085    -0.066    -0.026
1768819175.269183   18.831    0.471    -2.920    1.696    -1.000 | -0.085    -0.066    -0.026
1768819175.299646   24.241    0.606    -0.001    -3.000    -1.000 | -0.085    -0.064    -0.027
1768819175.324180   16.934    0.423    -2.988    -0.313    -1.000 | -0.085    -0.064    -0.027
1768819175.349849   12.860    0.321    -2.266    -0.521    -1.000 | -0.087    -0.062    -0.027
1768819175.375830   0.032    0.001    -1.128    -1.633    -1.000 | -0.087    -0.062    -0.027
1768819175.405327   39.704    0.993    -2.674    -2.807    -1.000 | -0.090    -0.059    -0.026
1768819175.443046   21.845    0.546    -3.000    -3.000    -1.000 | -0.090    -0.059    -0.026
1768819175.477418   18.988    0.475    -2.764    -2.330    -1.000 | -0.090    -0.056    -0.026
1768819175.509782   3.500    0.087    -2.858    -0.536    -0.943 | -0.089    -0.057    -0.024
1768819175.543908   0.000    0.000    -2.824    -2.297    -0.964 | -0.088    -0.057    -0.023
1768819175.576145   26.702    0.668    -1.823    -3.000    -0.954 | -0.088    -0.057    -0.023
1768819175.605512   25.992    0.650    -3.000    -2.126    -0.863 | -0.087    -0.059    -0.021
1768819175.633348   26.590    0.665    -2.971    -2.758    -1.000 | -0.087    -0.059    -0.021
1768819175.657541   22.620    0.565    -1.693    -3.000    -0.869 | -0.087    -0.065    -0.017
1768819175.687235   14.938    0.373    1.907    -2.677    -1.000 | -0.087    -0.065    -0.017
1768819175.714150   40.000    1.000    -2.614    -3.000    -0.856 | -0.088    -0.066    -0.017
1768819175.739258   14.269    0.357    -2.766    -3.000    -1.000 | -0.088    -0.066    -0.017
1768819175.766774   22.179    0.554    0.486    -2.505    -1.000 | -0.092    -0.066    -0.017
1768819175.796806   32.081    0.802    1.171    -2.809    -0.691 | -0.092    -0.066    -0.017
1768819175.825575   40.000    1.000    0.250    -0.771    -1.000 | -0.096    -0.067    -0.017
1768819175.860765   35.871    0.897    -0.296    -3.000    -1.000 | -0.096    -0.067    -0.017
1768819175.893328   40.000    1.000    -2.468    -2.793    -0.985 | -0.103    -0.064    -0.019
