time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
22.052000   40.000    1.000    0.573    -0.586    -1.000 | -0.072    0.093    -0.019
22.072000   7.217    0.180    3.000    1.403    -0.928 | -0.072    0.093    -0.019
22.096000   8.621    0.216    -0.508    1.979    -1.000 | -0.074    0.104    -0.023
22.116000   22.504    0.563    -0.144    2.071    -1.000 | -0.075    0.113    -0.025
22.136000   24.694    0.617    -3.000    2.947    -0.996 | -0.076    0.116    -0.025
22.160000   0.454    0.011    0.410    3.000    -0.720 | -0.076    0.123    -0.027
22.188000   1.783    0.045    -2.277    0.724    -1.000 | -0.076    0.123    -0.027
22.212000   9.707    0.243    -1.041    0.023    -1.000 | -0.078    0.139    -0.029
22.236000   31.388    0.785    -1.966    0.208    -1.000 | -0.079    0.144    -0.030
22.264000   8.830    0.221    -2.862    1.717    -1.000 | -0.080    0.153    -0.031
22.284000   25.675    0.642    -2.718    -0.892    -1.000 | -0.080    0.157    -0.031
22.308000   18.971    0.474    -0.480    1.366    -1.000 | -0.080    0.157    -0.031
22.332000   26.591    0.665    1.471    -0.689    -1.000 | -0.079    0.174    -0.033
22.364000   34.177    0.854    -2.770    -0.611    -0.932 | -0.079    0.174    -0.033
22.388000   6.471    0.162    1.128    2.387    -1.000 | -0.079    0.193    -0.032
22.412000   23.875    0.597    -0.636    3.000    -0.863 | -0.080    0.208    -0.031
22.436000   32.349    0.809    -0.022    -0.314    -1.000 | -0.080    0.217    -0.030
22.464000   0.000    0.000    -2.917    1.842    -0.873 | -0.081    0.238    -0.026
22.484000   37.524    0.938    -1.144    3.000    -1.000 | -0.082    0.255    -0.021
22.508000   16.649    0.416    -2.686    -0.670    -1.000 | -0.083    0.273    -0.014
22.536000   13.003    0.325    -3.000    -1.203    -0.865 | -0.084    0.293    -0.006
22.556000   33.718    0.843    -2.395    -0.949    -0.982 | -0.087    0.315    -0.009
22.588000   29.661    0.742    -2.661    -1.817    -0.796 | -0.090    0.346    -0.012
22.616000   0.000    0.000    -1.156    2.590    -1.000 | -0.091    0.372    -0.011
22.644000   4.420    0.111    1.049    3.000    -0.748 | -0.083    0.404    -0.018
22.668000   13.627    0.341    -3.000    -2.963    -1.000 | -0.066    0.416    -0.062
22.700000   0.000    0.000    -1.547    3.000    -1.000 | -0.052    0.427    -0.092
22.728000   5.910    0.148    -2.061    2.152    -1.000 | -0.032    0.440    -0.127
22.764000   13.996    0.350    1.617    0.579    -0.911 | -0.011    0.453    -0.155
22.788000   40.000    1.000    -3.000    2.664    -1.000 | 0.006    0.462    -0.172
22.816000   19.512    0.488    -2.924    0.448    -1.000 | 0.022    0.471    -0.184
22.836000   38.439    0.961    -3.000    2.786    -0.913 | 0.033    0.477    -0.188
22.868000   20.321    0.508    -2.957    -0.928    -1.000 | 0.059    0.495    -0.189
22.896000   10.677    0.267    3.000    0.686    -0.929 | 0.079    0.511    -0.182
22.924000   6.916    0.173    -1.103    1.436    -0.519 | 0.093    0.525    -0.174
22.944000   0.000    0.000    -1.267    2.581    -0.426 | 0.102    0.535    -0.168
22.972000   11.597    0.290    -0.663    2.836    -0.636 | 0.119    0.556    -0.151
22.992000   24.277    0.607    -2.318    3.000    -1.000 | 0.127    0.567    -0.140
23.016000   33.775    0.844    -0.030    1.218    -0.155 | 0.143    0.589    -0.112
23.044000   40.000    1.000    -0.163    2.007    -0.599 | 0.143    0.589    -0.112
23.068000   0.000    0.000    0.135    -1.238    0.249 | 0.164    0.623    -0.058
23.096000   8.970    0.224    2.797    1.484    -0.691 | 0.176    0.638    -0.047
23.124000   18.811    0.470    -1.718    -0.283    -0.320 | 0.189    0.654    -0.039
23.148000   39.836    0.996    -1.195    -2.411    1.000 | 0.194    0.665    -0.037
23.168000   40.000    1.000    -2.024    -2.963    0.287 | 0.197    0.671    -0.034
23.188000   29.295    0.732    -1.265    0.334    0.349 | 0.199    0.677    -0.033
23.216000   30.499    0.762    -0.510    -3.000    0.090 | 0.200    0.689    -0.032
23.240000   40.000    1.000    0.878    -2.936    0.423 | 0.198    0.697    -0.030
23.260000   40.000    1.000    -0.021    -2.375    0.238 | 0.195    0.704    -0.028
23.292000   33.858    0.846    -1.192    -2.710    1.000 | 0.191    0.711    -0.027
23.316000   16.838    0.421    0.045    -0.710    0.688 | 0.183    0.723    -0.025
23.344000   37.793    0.945    0.142    -3.000    0.884 | 0.174    0.737    -0.023
23.372000   26.668    0.667    -1.696    -2.912    0.860 | 0.166    0.748    -0.021
23.396000   18.197    0.455    -1.970    -3.000    1.000 | 0.166    0.748    -0.021
23.420000   3.199    0.080    -1.294    0.204    0.898 | 0.150    0.772    -0.012
23.440000   17.669    0.442    -1.897    -3.000    -0.627 | 0.144    0.780    -0.008
23.468000   22.817    0.570    -2.697    -3.000    0.725 | 0.135    0.792    0.000
23.496000   21.054    0.526    -2.711    -2.612    1.000 | 0.120    0.815    -0.004
23.520000   22.942    0.574    -2.680    -3.000    1.000 | 0.120    0.815    -0.004
23.548000   39.283    0.982    -0.871    -3.000    0.896 | 0.096    0.817    -0.127
23.580000   0.000    0.000    -0.204    -0.862    0.798 | 0.096    0.817    -0.127
23.608000   17.220    0.431    -2.211    -1.584    0.847 | 0.063    0.825    -0.253
23.628000   15.486    0.387    -3.000    -0.150    0.666 | 0.039    0.834    -0.341
23.664000   29.075    0.727    -0.482    -1.972    0.435 | 0.014    0.846    -0.427
23.688000   17.403    0.435    -3.000    0.772    0.838 | -0.012    0.860    -0.507
23.712000   40.000    1.000    -1.183    -2.440    0.363 | -0.012    0.860    -0.507
23.744000   25.076    0.627    -2.721    2.486    0.016 | -0.048    0.889    -0.613
23.772000   15.609    0.390    -2.480    2.376    0.586 | -0.067    0.913    -0.676
23.800000   0.000    0.000    -0.786    2.680    -0.274 | -0.082    0.941    -0.733
23.828000   12.769    0.319    -0.713    2.619    0.325 | -0.089    0.964    -0.773
23.852000   0.000    0.000    -2.262    3.000    0.189 | -0.093    0.988    -0.810
23.876000   37.114    0.928    1.429    3.000    0.300 | -0.094    1.013    -0.842
23.904000   26.555    0.664    -1.132    1.859    -0.284 | -0.093    1.039    -0.868
