time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
18.4480    0.0195     49679808.0000|  24.231   1.826   -0.083     0.267|  8.529    6.413    2.390|     0.000    0.000    2.102|  11.345    4.617    0.146|   0.000    0.000    0.705
18.4800    0.0151     47760848.0000|  23.619   0.220   1.374     -0.312|  8.911    6.555    2.388|     0.000    0.000    2.125|  11.666    4.642    -0.028|   0.000    0.000    0.685
18.5160    0.0327     46364316.0000|  25.776   1.378   0.119     0.228|  9.405    6.735    2.377|     0.000    0.000    2.149|  12.123    4.680    -0.240|   0.000    0.000    0.663
18.5520    0.0154     48745528.0000|  19.743   0.865   1.297     -0.597|  9.917    6.918    2.357|     0.000    0.000    2.172|  12.581    4.706    -0.480|   0.000    0.000    0.640
18.5880    0.0121     48454688.0000|  25.247   1.500   0.254     0.019|  10.341    7.067    2.332|     0.000    0.000    2.195|  12.979    4.741    -0.682|   0.000    0.000    0.618
18.6200    0.0226     48831428.0000|  22.283   1.415   -0.576     0.327|  10.778    7.218    2.300|     0.000    0.000    2.214|  13.402    4.791    -0.890|   0.000    0.000    0.598
18.6560    0.0140     53983168.0000|  21.571   0.675   0.128     0.511|  11.227    7.371    2.261|     0.000    0.000    2.236|  13.796    4.845    -1.123|   0.000    0.000    0.575
18.6920    0.0104     61365796.0000|  24.328   1.487   0.200     -0.099|  11.690    7.527    2.213|     0.000    0.000    2.256|  14.216    4.921    -1.367|   0.000    0.000    0.553
18.7280    0.0101     63413572.0000|  24.993   1.561   0.879     -0.071|  12.288    7.727    2.141|     0.000    0.000    2.275|  14.742    5.024    -1.699|   0.000    0.000    0.530
18.7600    0.0096     65057228.0000|  22.676   0.571   -1.086     -0.314|  12.780    7.891    2.072|     0.000    0.000    2.292|  15.173    5.110    -1.985|   0.000    0.000    0.510
18.7960    0.0098     72258456.0000|  21.626   2.326   0.560     -0.533|  13.417    8.102    1.972|     0.000    0.000    2.310|  15.761    5.238    -2.365|   0.000    0.000    0.488
18.8320    0.0104     76598712.0000|  22.965   2.385   1.673     0.360|  13.943    8.276    1.880|     0.000    0.000    2.327|  16.205    5.348    -2.695|   0.000    0.000    0.465
18.8680    0.0104     77769408.0000|  23.254   1.139   -0.093     0.504|  14.620    8.501    1.747|     0.000    0.000    2.343|  16.668    5.482    -3.134|   0.000    0.000    0.442
18.9000    0.0097     88994040.0000|  24.443   0.947   -1.321     -0.126|  15.174    8.685    1.627|     0.000    0.000    2.357|  17.013    5.583    -3.504|   0.000    0.000    0.423
18.9360    0.0105     96833824.0000|  24.003   2.551   0.436     0.116|  15.740    8.875    1.494|     0.000    0.000    2.372|  17.399    5.716    -3.907|   0.000    0.000    0.400
18.9720    0.0083     95616168.0000|  21.287   1.235   -1.070     0.229|  16.317    9.070    1.347|     0.000    0.000    2.386|  17.757    5.867    -4.335|   0.000    0.000    0.377
19.0080    0.0159     103273064.0000|  18.579   1.805   -0.712     0.506|  17.053    9.322    1.142|     0.000    0.000    2.399|  18.226    6.070    -4.912|   0.000    0.000    0.355
19.0400    0.0144     107574560.0000|  17.778   2.166   -0.484     -0.535|  17.655    9.531    0.960|     0.000    0.000    2.410|  18.581    6.225    -5.399|   0.000    0.000    0.335
19.0760    0.0133     110937032.0000|  21.839   1.348   1.344     -0.364|  18.496    9.826    0.685|     0.000    0.000    2.422|  19.020    6.425    -6.098|   0.000    0.000    0.312
19.1120    0.0118     110288816.0000|  23.755   2.750   0.211     0.062|  19.120    10.049    0.462|     0.000    0.000    2.433|  19.284    6.544    -6.608|   0.000    0.000    0.290
19.1480    0.0105     107720280.0000|  18.223   2.298   2.727     0.394|  19.910    10.333    0.159|     0.000    0.000    2.443|  19.609    6.687    -7.286|   0.000    0.000    0.268
19.1800    0.0126     106880200.0000|  16.992   2.404   3.000     -0.056|  20.551    10.566    -0.106|     0.000    0.000    2.451|  19.893    6.823    -7.887|   0.000    0.000    0.248
19.2160    0.0115     105944584.0000|  23.722   2.614   3.000     0.092|  21.363    10.863    -0.466|     0.000    0.000    2.460|  20.214    7.002    -8.674|   0.000    0.000    0.225
19.2520    0.0090     86708808.0000|  18.422   1.195   2.800     -0.048|  21.869    11.070    -0.602|     0.000    0.000    2.467|  21.630    9.052    -0.989|   0.000    0.000    0.203
19.2880    0.0087     33674684.0000|  15.321   2.254   3.000     -0.198|  22.618    11.431    -0.441|     0.000    0.000    2.474|  17.618    8.433    6.004|   0.000    0.000    0.180
19.3200    0.0099     22057164.0000|  19.659   1.623   2.914     0.265|  23.182    11.717    -0.280|     0.000    0.000    2.480|  17.359    8.431    5.588|   0.000    0.000    0.160
19.3560    0.0100     30382240.0000|  20.408   0.957   2.399     0.600|  23.875    12.077    -0.092|     0.000    0.000    2.485|  17.065    8.598    5.113|   0.000    0.000    0.138
19.3920    0.0101     39844608.0000|  20.439   -0.061   2.752     0.257|  24.286    12.298    0.012|     0.000    0.000    2.489|  16.933    8.751    4.774|   0.000    0.000    0.115
19.4280    0.0116     74726920.0000|  23.849   2.005   2.202     0.116|  24.956    12.671    0.172|     0.000    0.000    2.493|  16.611    8.913    4.138|   0.000    0.000    0.093
19.4600    0.0183     103300272.0000|  19.282   3.000   1.435     0.281|  25.346    12.896    0.257|     0.000    0.000    2.496|  16.391    8.964    3.717|   0.000    0.000    0.072
19.4960    0.0128     156270304.0000|  17.401   3.000   3.000     0.245|  25.974    13.272    0.379|     0.000    0.000    2.498|  15.983    9.031    3.026|   0.000    0.000    0.050
19.5320    0.0123     134968512.0000|  20.015   3.000   1.969     0.217|  26.456    13.574    0.457|     0.000    0.000    2.499|  15.647    9.084    2.519|   0.000    0.000    0.027
19.5680    0.0113     72162800.0000|  23.319   2.612   1.606     0.318|  27.037    13.953    0.533|     0.000    0.000    2.500|  15.232    9.165    1.923|   0.000    0.000    0.005
19.6000    0.0144     36036516.0000|  22.253   1.179   1.412     0.305|  27.486    14.257    0.579|     -0.000    0.000    2.500|  14.913    9.242    1.478|   -0.000    0.001    0.000
19.6360    0.0122     22089420.0000|  25.373   0.402   3.000     1.000|  27.921    14.563    0.610|     -0.000    0.000    2.500|  14.568    9.368    1.037|   -0.001    0.002    0.000
19.6720    0.0136     19962536.0000|  22.454   2.782   2.964     0.935|  28.446    14.951    0.631|     -0.000    0.000    2.500|  14.168    9.560    0.497|   -0.002    0.004    0.000
19.7080    0.0131     24778734.0000|  19.664   2.990   2.990     0.466|  28.952    15.347    0.632|     -0.000    0.000    2.500|  13.782    9.792    -0.060|   -0.003    0.005    0.000
19.7400    0.0105     36574668.0000|  23.383   1.366   2.599     -0.056|  29.344    15.670    0.617|     -0.000    0.001    2.500|  13.510    9.964    -0.512|   -0.003    0.007    0.000
19.7760    0.0101     58795216.0000|  21.006   2.712   2.220     0.361|  29.823    16.082    0.578|     -0.000    0.001    2.500|  13.203    10.153    -1.101|   -0.004    0.008    0.000
19.8120    0.0135     84205896.0000|  24.208   2.612   2.734     0.229|  30.197    16.417    0.531|     -0.001    0.001    2.500|  12.956    10.289    -1.608|   -0.005    0.009    0.000
19.8480    0.0102     113062832.0000|  19.934   2.836   2.004     0.398|  30.563    16.757    0.466|     -0.001    0.001    2.500|  12.689    10.401    -2.135|   -0.005    0.011    0.000
19.8800    0.0123     150490544.0000|  22.819   3.000   2.737     0.952|  31.009    17.186    0.363|     -0.001    0.002    2.500|  12.352    10.492    -2.767|   -0.006    0.012    0.000
19.9160    0.0121     156120576.0000|  26.000   2.496   0.428     0.576|  31.358    17.531    0.262|     -0.001    0.002    2.500|  12.049    10.544    -3.263|   -0.007    0.014    0.000
19.9520    0.0112     114121544.0000|  23.223   0.658   2.407     0.700|  31.614    17.791    0.176|     -0.001    0.003    2.500|  11.804    10.574    -3.622|   -0.008    0.015    0.000
19.9880    0.0112     62996372.0000|  14.916   1.269   2.358     0.692|  32.109    18.310    -0.020|     -0.002    0.003    2.500|  11.317    10.616    -4.272|   -0.008    0.016    0.000
20.0200    0.0106     40117048.0000|  17.449   2.263   3.000     1.000|  32.427    18.657    -0.167|     -0.002    0.004    2.500|  10.973    10.647    -4.664|   -0.009    0.018    0.000
20.0560    0.0116     26686024.0000|  20.296   2.077   2.990     0.847|  32.734    19.004    -0.326|     -0.002    0.005    2.500|  10.621    10.686    -5.034|   -0.010    0.019    0.000
20.0920    0.0122     21228322.0000|  13.621   1.749   3.000     0.818|  33.031    19.352    -0.496|     -0.003    0.005    2.500|  10.317    10.737    -5.379|   -0.010    0.021    0.000
20.1280    0.0118     21391100.0000|  18.246   1.627   3.000     0.294|  33.391    19.789    -0.723|     -0.003    0.006    2.500|  9.969    10.826    -5.802|   -0.011    0.022    0.000
20.1600    0.0134     24608474.0000|  17.920   2.224   2.920     0.477|  33.670    20.141    -0.916|     -0.003    0.007    2.500|  9.694    10.931    -6.149|   -0.012    0.023    0.000
