time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
26.0400    0.0101     68854200.0000|  20.421   1.712   3.000     -0.004|  29.182    31.999    -1.354|     -0.418    0.836    2.500|  -0.962    -2.479    -0.093|   -0.129    0.259    0.000
26.0760    0.0107     69100504.0000|  19.638   1.889   3.000     -1.000|  29.155    31.895    -1.341|     -0.423    0.845    2.500|  -0.648    -2.192    -0.089|   -0.130    0.260    0.000
26.1120    0.0137     68975184.0000|  23.246   2.764   2.948     -0.958|  29.141    31.823    -1.332|     -0.427    0.854    2.500|  -0.448    -2.205    -0.095|   -0.131    0.261    0.000
26.1480    0.0100     68977528.0000|  20.062   -0.731   3.000     -0.532|  29.117    31.740    -1.319|     -0.432    0.864    2.500|  -0.945    -1.768    -0.077|   -0.131    0.263    0.000
26.1800    0.0167     68420448.0000|  23.572   2.091   3.000     -0.648|  29.078    31.674    -1.306|     -0.436    0.872    2.500|  -1.061    -1.450    -0.071|   -0.132    0.264    0.000
26.2160    0.0108     67405600.0000|  18.609   1.165   3.000     -0.957|  29.054    31.625    -1.296|     -0.441    0.882    2.500|  -0.748    -1.522    -0.070|   -0.133    0.266    0.000
26.2520    0.0096     67719312.0000|  18.654   2.418   3.000     -0.466|  29.042    31.589    -1.289|     -0.446    0.891    2.500|  -0.578    -1.737    -0.069|   -0.134    0.267    0.000
26.2880    0.0129     69391752.0000|  18.707   2.108   3.000     -0.852|  29.016    31.500    -1.274|     -0.451    0.901    2.500|  -0.649    -2.239    -0.064|   -0.134    0.268    0.000
26.3200    0.0106     71583776.0000|  20.706   0.537   3.000     -0.506|  29.004    31.456    -1.266|     -0.455    0.910    2.500|  -0.466    -1.888    -0.087|   -0.135    0.270    0.000
26.3560    0.0111     73698800.0000|  21.140   1.276   3.000     -1.000|  28.986    31.398    -1.254|     -0.460    0.919    2.500|  -0.674    -1.172    -0.053|   -0.136    0.271    0.000
26.3920    0.0109     75438752.0000|  22.147   1.372   2.934     -0.883|  28.966    31.367    -1.242|     -0.465    0.929    2.500|  -0.563    -0.652    -0.047|   -0.136    0.273    0.000
26.4280    0.0109     77402144.0000|  13.371   0.425   3.000     -0.445|  28.952    31.347    -1.232|     -0.469    0.939    2.500|  -0.383    -0.949    -0.047|   -0.137    0.274    0.000
26.4600    0.0122     77766968.0000|  19.327   2.020   2.873     -0.762|  28.935    31.322    -1.222|     -0.474    0.948    2.500|  -0.834    -1.132    -0.041|   -0.138    0.275    0.000
26.4960    0.0104     75614632.0000|  19.927   0.443   3.000     -0.744|  28.907    31.292    -1.213|     -0.479    0.958    2.500|  -1.063    -1.379    -0.038|   -0.138    0.277    0.000
26.5320    0.0112     73556144.0000|  22.971   0.687   3.000     -0.605|  28.861    31.244    -1.202|     -0.484    0.968    2.500|  -1.382    -1.558    -0.033|   -0.139    0.278    0.000
26.5680    0.0119     71320240.0000|  19.853   -0.085   3.000     -0.911|  28.803    31.190    -1.191|     -0.489    0.978    2.500|  -1.485    -1.779    -0.030|   -0.140    0.280    0.000
26.6000    0.0268     70423048.0000|  19.305   2.025   3.000     0.166|  28.764    31.151    -1.184|     -0.493    0.987    2.500|  -1.678    -1.904    -0.027|   -0.140    0.281    0.000
26.6360    0.0129     69363224.0000|  20.972   1.142   3.000     0.027|  28.692    31.075    -1.173|     -0.498    0.997    2.500|  -1.665    -2.233    -0.023|   -0.141    0.282    0.000
26.6720    0.0156     67821152.0000|  23.041   2.099   2.998     -0.004|  28.633    31.004    -1.164|     -0.504    1.007    2.500|  -1.586    -2.463    -0.019|   -0.142    0.284    0.000
26.7080    0.0141     67776312.0000|  18.494   2.299   3.000     0.029|  28.568    30.912    -1.154|     -0.509    1.017    2.500|  -1.199    -2.461    -0.020|   -0.143    0.285    0.000
26.7400    0.0135     68873720.0000|  17.301   0.645   3.000     -0.384|  28.521    30.828    -1.146|     -0.513    1.026    2.500|  -1.422    -2.535    -0.049|   -0.143    0.287    0.000
26.7760    0.0196     68604400.0000|  21.168   0.511   3.000     -0.014|  28.465    30.721    -1.136|     -0.518    1.037    2.500|  -1.315    -2.664    -0.016|   -0.144    0.288    0.000
26.8120    0.0165     68214904.0000|  20.322   2.671   3.000     0.278|  28.416    30.639    -1.128|     -0.524    1.047    2.500|  -1.605    -2.400    -0.013|   -0.145    0.289    0.000
26.8480    0.0158     67901320.0000|  15.913   1.182   3.000     -0.390|  28.345    30.544    -1.117|     -0.529    1.058    2.500|  -1.887    -2.138    -0.008|   -0.145    0.291    0.000
26.8800    0.0118     66843976.0000|  19.340   0.975   3.000     -0.291|  28.297    30.495    -1.111|     -0.533    1.067    2.500|  -1.999    -1.926    -0.006|   -0.146    0.292    0.000
26.9160    0.0118     66832924.0000|  19.388   2.166   3.000     0.216|  28.210    30.423    -1.101|     -0.539    1.078    2.500|  -2.306    -1.661    -0.002|   -0.147    0.294    0.000
26.9520    0.0109     69152232.0000|  19.126   1.044   2.957     0.063|  28.127    30.381    -1.093|     -0.544    1.088    2.500|  -2.621    -1.320    0.001|   -0.148    0.295    0.000
26.9880    0.0123     66251532.0000|  18.689   2.886   2.807     0.101|  28.016    30.343    -1.082|     -0.549    1.099    2.500|  -2.698    -1.181    -0.008|   -0.148    0.296    0.000
27.0200    0.0123     65382584.0000|  17.764   2.525   3.000     0.024|  27.928    30.320    -1.075|     -0.554    1.108    2.500|  -2.347    -0.741    -0.005|   -0.149    0.298    0.000
27.0560    0.0111     66291172.0000|  17.827   0.688   3.000     0.619|  27.823    30.307    -1.065|     -0.560    1.119    2.500|  -2.415    -0.606    0.014|   -0.150    0.299    0.000
27.0920    0.0149     62343280.0000|  18.872   2.248   2.946     -0.136|  27.740    30.305    -1.057|     -0.565    1.130    2.500|  -2.169    -0.504    0.008|   -0.150    0.301    0.000
27.1280    0.0114     61377572.0000|  16.226   2.728   2.666     -0.081|  27.661    30.306    -1.048|     -0.570    1.141    2.500|  -2.427    -0.314    0.025|   -0.151    0.302    0.000
27.1600    0.0108     61584816.0000|  18.667   2.692   2.701     -0.035|  27.562    30.310    -1.038|     -0.575    1.150    2.500|  -2.477    -0.152    -0.014|   -0.152    0.303    0.000
27.1960    0.0132     60224748.0000|  18.439   2.801   3.000     0.662|  27.484    30.318    -1.029|     -0.581    1.161    2.500|  -2.313    -0.308    -0.030|   -0.152    0.305    0.000
27.2320    0.0120     61200196.0000|  15.248   3.000   2.470     -0.743|  27.408    30.321    -1.020|     -0.586    1.172    2.500|  -2.378    -0.166    0.022|   -0.153    0.306    0.000
27.2680    0.0130     61721284.0000|  14.794   3.000   2.937     0.599|  27.315    30.332    -1.010|     -0.592    1.183    2.500|  -2.413    -0.134    0.031|   -0.154    0.308    0.000
27.3000    0.0162     61293020.0000|  14.032   3.000   3.000     0.401|  27.260    30.340    -1.004|     -0.597    1.193    2.500|  -2.197    0.058    0.026|   -0.154    0.309    0.000
27.3360    0.0103     62026956.0000|  18.338   3.000   2.996     0.179|  27.186    30.359    -0.993|     -0.602    1.204    2.500|  -1.638    0.160    0.024|   -0.155    0.310    0.000
27.3720    0.0125     65999508.0000|  15.249   3.000   2.929     0.903|  27.145    30.376    -0.985|     -0.608    1.216    2.500|  -1.329    0.292    0.028|   -0.156    0.312    0.000
27.4080    0.0129     71285552.0000|  15.438   3.000   3.000     0.041|  27.113    30.400    -0.975|     -0.613    1.227    2.500|  -0.719    0.186    0.010|   -0.157    0.313    0.000
27.4400    0.0107     76776504.0000|  14.891   3.000   2.362     0.633|  27.105    30.414    -0.966|     -0.618    1.237    2.500|  -0.483    -0.106    0.031|   -0.157    0.315    0.000
27.4760    0.0127     79958824.0000|  17.572   3.000   3.000     0.044|  27.105    30.414    -0.958|     -0.624    1.248    2.500|  -0.405    -0.510    0.032|   -0.158    0.316    0.000
27.5120    0.0117     75102656.0000|  12.757   3.000   2.795     0.755|  27.112    30.399    -0.947|     -0.630    1.260    2.500|  -0.242    -0.553    0.033|   -0.159    0.317    0.000
27.5480    0.0141     73351256.0000|  13.984   3.000   2.237     0.007|  27.126    30.390    -0.937|     -0.636    1.271    2.500|  -0.348    -0.304    0.038|   -0.159    0.319    0.000
27.5800    0.0138     67816288.0000|  7.734   2.942   2.455     0.920|  27.132    30.383    -0.929|     -0.641    1.281    2.500|  -0.489    -0.327    0.044|   -0.160    0.320    0.000
27.6160    0.0118     63181468.0000|  14.212   3.000   2.761     0.146|  27.132    30.373    -0.921|     -0.646    1.293    2.500|  -0.649    -0.459    0.034|   -0.161    0.322    0.000
27.6520    0.0137     58731236.0000|  10.261   2.961   2.890     -0.008|  27.125    30.357    -0.911|     -0.652    1.304    2.500|  -0.575    -0.424    0.041|   -0.162    0.323    0.000
27.6880    0.0129     57509572.0000|  14.754   3.000   2.830     0.005|  27.127    30.337    -0.903|     -0.658    1.316    2.500|  -0.368    -0.597    0.042|   -0.162    0.324    0.000
27.7200    0.0124     57401600.0000|  11.657   2.887   2.928     0.976|  27.123    30.323    -0.896|     -0.663    1.326    2.500|  -0.525    -0.419    0.046|   -0.163    0.326    0.000
27.7560    0.0130     57211928.0000|  14.092   3.000   3.000     0.045|  27.125    30.298    -0.887|     -0.669    1.338    2.500|  -0.359    -0.685    0.049|   -0.164    0.327    0.000
27.7920    0.0113     57120172.0000|  9.791   2.877   3.000     -0.092|  27.120    30.272    -0.879|     -0.675    1.350    2.500|  -0.648    -0.715    0.050|   -0.164    0.329    0.000
27.8280    0.0128     56747720.0000|  8.809   2.915   3.000     0.208|  27.103    30.239    -0.870|     -0.681    1.362    2.500|  -0.674    -0.523    0.049|   -0.165    0.330    0.000
27.8600    0.0105     56999588.0000|  8.391   2.913   3.000     -0.574|  27.093    30.227    -0.865|     -0.686    1.372    2.500|  -0.730    -0.156    0.047|   -0.166    0.331    0.000
27.8960    0.0116     57358688.0000|  11.530   2.904   2.952     0.474|  27.075    30.219    -0.858|     -0.692    1.384    2.500|  -0.770    -0.040    0.054|   -0.166    0.333    0.000
27.9320    0.0107     57230984.0000|  11.463   3.000   3.000     -0.388|  27.049    30.204    -0.847|     -0.698    1.396    2.500|  -0.435    -0.189    0.048|   -0.167    0.334    0.000
27.9680    0.0163     57165888.0000|  9.133   2.935   3.000     -0.270|  27.047    30.191    -0.840|     -0.704    1.409    2.500|  0.036    -0.285    0.049|   -0.168    0.336    0.000
28.0000    0.0135     57054252.0000|  10.662   3.000   2.563     -0.247|  27.050    30.177    -0.833|     -0.710    1.419    2.500|  -0.147    -0.370    0.055|   -0.168    0.337    0.000
28.0360    0.0121     57237820.0000|  12.177   2.884   3.000     -0.027|  27.055    30.161    -0.824|     -0.716    1.431    2.500|  -0.147    -0.176    0.055|   -0.169    0.338    0.000
28.0720    0.0122     57375508.0000|  8.100   3.000   3.000     -0.095|  27.058    30.153    -0.819|     -0.722    1.444    2.500|  -0.231    -0.174    0.054|   -0.170    0.340    0.000
28.1080    0.0125     57999740.0000|  10.021   3.000   2.837     0.200|  27.065    30.141    -0.811|     -0.728    1.456    2.500|  0.014    -0.024    0.059|   -0.171    0.341    0.000
28.1400    0.0123     59429284.0000|  15.031   3.000   2.819     0.482|  27.069    30.140    -0.804|     -0.733    1.467    2.500|  -0.271    0.398    0.057|   -0.171    0.343    0.000
28.1760    0.0111     62554572.0000|  13.493   3.000   3.000     0.574|  27.073    30.147    -0.796|     -0.740    1.479    2.500|  -0.126    0.071    0.055|   -0.172    0.344    0.000
28.2120    0.0125     66406544.0000|  11.297   2.993   3.000     -0.007|  27.072    30.146    -0.790|     -0.746    1.492    2.500|  -0.205    0.276    0.057|   -0.173    0.345    0.000
28.2480    0.0130     68722912.0000|  14.699   3.000   2.741     0.091|  27.073    30.165    -0.781|     -0.752    1.504    2.500|  -0.045    0.803    0.055|   -0.173    0.347    0.000
28.2800    0.0147     70957824.0000|  16.187   3.000   3.000     0.383|  27.081    30.186    -0.775|     -0.758    1.515    2.500|  0.380    0.759    0.052|   -0.174    0.348    0.000
28.3160    0.0127     77623912.0000|  18.767   2.680   2.088     0.590|  27.107    30.213    -0.767|     -0.764    1.528    2.500|  0.816    0.719    0.052|   -0.175    0.350    0.000
28.3520    0.0145     81556944.0000|  15.410   2.948   2.465     0.488|  27.135    30.239    -0.761|     -0.770    1.540    2.500|  0.763    0.898    0.053|   -0.176    0.351    0.000
28.3880    0.0141     84504992.0000|  14.982   3.000   2.105     1.000|  27.169    30.283    -0.754|     -0.777    1.553    2.500|  0.732    1.086    0.041|   -0.176    0.352    0.000
28.4200    0.0131     84977344.0000|  11.982   3.000   2.270     0.567|  27.194    30.312    -0.750|     -0.782    1.564    2.500|  0.829    1.220    0.057|   -0.177    0.354    0.000
28.4560    0.0130     85815888.0000|  18.343   3.000   -0.226     0.763|  27.229    30.357    -0.743|     -0.789    1.577    2.500|  0.548    1.041    0.062|   -0.178    0.355    0.000
28.4920    0.0118     83993608.0000|  16.420   3.000   2.232     0.939|  27.253    30.383    -0.738|     -0.795    1.590    2.500|  0.575    0.567    0.062|   -0.178    0.357    0.000
28.5280    0.0150     82194088.0000|  13.839   3.000   -1.307     0.834|  27.280    30.396    -0.731|     -0.801    1.603    2.500|  0.534    0.112    0.060|   -0.179    0.358    0.000
28.5600    0.0158     87307704.0000|  11.461   2.941   1.045     0.661|  27.299    30.393    -0.726|     -0.807    1.614    2.500|  0.626    0.032    0.068|   -0.180    0.359    0.000
28.5960    0.0133     88552888.0000|  14.898   3.000   -0.056     0.155|  27.331    30.386    -0.720|     -0.814    1.627    2.500|  0.971    -0.031    0.038|   -0.180    0.361    0.000
28.6320    0.0146     87815072.0000|  13.107   2.964   1.230     0.673|  27.352    30.376    -0.716|     -0.820    1.640    2.500|  0.726    -0.148    0.065|   -0.181    0.362    0.000
28.6680    0.0135     83587480.0000|  14.986   3.000   -1.145     0.449|  27.377    30.357    -0.708|     -0.827    1.653    2.500|  0.363    -0.028    0.072|   -0.182    0.364    0.000
28.7000    0.0107     81667784.0000|  12.118   3.000   -0.085     0.517|  27.390    30.345    -0.704|     -0.832    1.665    2.500|  0.641    -0.156    0.062|   -0.182    0.365    0.000
28.7360    0.0121     81237824.0000|  16.157   3.000   -1.532     0.287|  27.418    30.323    -0.698|     -0.839    1.678    2.500|  0.678    -0.037    0.067|   -0.183    0.366    0.000
28.7720    0.0106     80615632.0000|  9.964   3.000   -1.244     0.336|  27.433    30.314    -0.692|     -0.846    1.691    2.500|  0.526    0.373    0.069|   -0.184    0.368    0.000
28.8080    0.0132     79593136.0000|  14.323   2.782   -0.221     -0.063|  27.456    30.324    -0.685|     -0.852    1.705    2.500|  0.631    0.681    0.072|   -0.185    0.369    0.000
28.8400    0.0147     75987424.0000|  10.360   3.000   -0.689     -0.351|  27.477    30.332    -0.680|     -0.858    1.716    2.500|  0.684    0.512    0.068|   -0.185    0.371    0.000
28.8760    0.0100     73873872.0000|  12.604   3.000   -1.205     -0.329|  27.507    30.335    -0.674|     -0.865    1.730    2.500|  1.014    0.380    0.068|   -0.186    0.372    0.000
28.9120    0.0099     72337168.0000|  20.287   3.000   -1.313     0.941|  27.540    30.345    -0.668|     -0.872    1.743    2.500|  1.230    0.613    0.065|   -0.187    0.373    0.000
28.9480    0.0104     75696760.0000|  16.676   2.831   -0.640     0.597|  27.593    30.363    -0.662|     -0.878    1.757    2.500|  1.437    0.484    0.064|   -0.187    0.375    0.000
28.9800    0.0126     80002688.0000|  19.248   2.931   -1.795     0.213|  27.629    30.367    -0.659|     -0.884    1.769    2.500|  1.407    0.193    0.065|   -0.188    0.376    0.000
29.0160    0.0099     85566264.0000|  17.494   3.000   -1.051     0.055|  27.684    30.360    -0.653|     -0.891    1.782    2.500|  1.432    -0.001    0.055|   -0.189    0.378    0.000
29.0520    0.0119     87043648.0000|  19.949   3.000   -0.333     -0.031|  27.721    30.352    -0.649|     -0.898    1.796    2.500|  1.291    -0.128    0.071|   -0.190    0.379    0.000
29.0880    0.0100     95727128.0000|  19.919   3.000   0.179     0.549|  27.790    30.336    -0.643|     -0.905    1.810    2.500|  1.550    -0.132    0.073|   -0.190    0.380    0.000
29.1200    0.0115     101040400.0000|  19.162   2.815   -0.915     0.503|  27.841    30.317    -0.638|     -0.911    1.822    2.500|  1.609    -0.460    0.064|   -0.191    0.382    0.000
29.1560    0.0106     109704440.0000|  15.171   2.682   -2.091     -0.667|  27.896    30.288    -0.633|     -0.918    1.836    2.500|  1.176    -0.132    0.070|   -0.192    0.383    0.000
29.1920    0.0102     111969136.0000|  19.696   2.854   -2.360     0.351|  27.923    30.278    -0.629|     -0.925    1.849    2.500|  1.193    0.076    0.071|   -0.192    0.385    0.000
29.2280    0.0113     120432792.0000|  15.826   2.639   -2.334     0.026|  27.971    30.277    -0.624|     -0.932    1.863    2.500|  1.311    0.574    0.072|   -0.193    0.386    0.000
29.2600    0.0114     121480656.0000|  20.106   3.000   -1.404     -0.071|  27.998    30.289    -0.620|     -0.938    1.876    2.500|  1.178    0.980    0.075|   -0.194    0.387    0.000
29.2960    0.0099     120103432.0000|  14.544   2.806   -0.932     0.145|  28.036    30.330    -0.614|     -0.945    1.890    2.500|  0.995    1.343    0.078|   -0.194    0.389    0.000
29.3320    0.0107     110298056.0000|  20.672   2.890   -0.031     0.131|  28.058    30.366    -0.610|     -0.952    1.904    2.500|  0.653    1.033    0.081|   -0.195    0.390    0.000
29.3680    0.0116     106704984.0000|  22.399   2.688   -3.000     -0.151|  28.074    30.401    -0.604|     -0.959    1.918    2.500|  0.593    0.524    0.079|   -0.196    0.392    0.000
29.4000    0.0099     105519832.0000|  18.772   3.000   -0.704     -0.034|  28.084    30.415    -0.598|     -0.965    1.930    2.500|  0.582    0.121    0.073|   -0.196    0.393    0.000
29.4360    0.0094     99887608.0000|  24.350   2.729   0.704     -0.191|  28.090    30.410    -0.593|     -0.972    1.944    2.500|  0.466    -0.497    0.079|   -0.197    0.394    0.000
29.4720    0.0120     96522840.0000|  20.055   2.969   -0.791     -0.649|  28.093    30.388    -0.588|     -0.979    1.959    2.500|  0.540    -0.730    0.078|   -0.198    0.396    0.000
29.5080    0.0117     95215792.0000|  21.795   2.107   -0.619     -0.372|  28.109    30.343    -0.583|     -0.986    1.973    2.500|  0.665    -1.009    0.077|   -0.199    0.397    0.000
29.5400    0.0113     93669832.0000|  25.677   3.000   -0.804     -0.955|  28.112    30.315    -0.580|     -0.993    1.986    2.500|  0.344    -0.789    0.074|   -0.199    0.399    0.000
29.5760    0.0095     91855848.0000|  23.026   3.000   -2.935     -0.317|  28.102    30.261    -0.574|     -1.000    2.000    2.500|  0.225    -0.700    0.076|   -0.200    0.400    0.000
29.6120    0.0140     88235056.0000|  23.087   3.000   -1.212     -0.632|  28.097    30.233    -0.571|     -1.007    2.014    2.500|  -0.036    -0.786    0.086|   -0.201    0.401    0.000
29.6480    0.0131     83576216.0000|  21.087   3.000   -1.028     -0.107|  28.074    30.197    -0.566|     -1.014    2.029    2.500|  -0.426    -0.311    0.089|   -0.201    0.403    0.000
29.6800    0.0123     80997240.0000|  19.511   3.000   -3.000     -0.903|  28.042    30.183    -0.562|     -1.021    2.042    2.500|  -0.559    -0.242    0.078|   -0.202    0.404    0.000
29.7160    0.0122     79635944.0000|  20.087   2.936   -1.120     -0.178|  27.991    30.164    -0.556|     -1.028    2.056    2.500|  -1.074    -0.388    0.093|   -0.203    0.406    0.000
29.7520    0.0091     75859320.0000|  20.200   3.000   -3.000     -0.790|  27.940    30.147    -0.552|     -1.036    2.071    2.500|  -1.009    -0.565    0.077|   -0.204    0.407    0.000
29.7880    0.6134     74801152.0000|  26.000   3.000   -1.394     -0.704|  27.871    30.123    -0.547|     -1.043    2.086    2.500|  -1.361    -0.573    0.094|   -0.204    0.408    0.000
29.8200    0.6854     74622760.0000|  20.034   3.000   -1.385     -0.951|  27.810    30.100    -0.542|     -1.049    2.099    2.500|  -1.255    -0.784    0.070|   -0.205    0.410    0.000
29.8560    0.0101     73661704.0000|  25.863   2.884   -1.344     -0.720|  27.749    30.070    -0.538|     -1.057    2.114    2.500|  -1.127    -0.810    0.111|   -0.206    0.411    0.000
29.8920    0.0102     73007504.0000|  21.917   3.000   -0.552     -0.474|  27.697    30.043    -0.534|     -1.064    2.128    2.500|  -0.798    -0.686    0.090|   -0.206    0.413    0.000
29.9280    0.0104     73354016.0000|  18.344   3.000   -0.605     -0.762|  27.652    30.022    -0.529|     -1.072    2.143    2.500|  -0.491    -0.332    0.090|   -0.207    0.414    0.000
29.9600    0.0094     73418208.0000|  22.167   3.000   -0.724     -0.670|  27.630    30.015    -0.526|     -1.078    2.157    2.500|  -0.332    -0.126    0.091|   -0.208    0.415    0.000
29.9960    0.0081     72686432.0000|  24.286   3.000   1.124     -0.962|  27.604    30.016    -0.522|     -1.086    2.172    2.500|  -0.157    0.206    0.095|   -0.208    0.417    0.000
30.0320    0.0119     72579280.0000|  18.334   3.000   -1.502     -0.382|  27.598    30.043    -0.517|     -1.093    2.187    2.500|  0.202    0.874    0.099|   -0.209    0.418    0.000
30.0680    0.0135     72970360.0000|  23.573   2.936   -0.359     -0.349|  27.607    30.080    -0.513|     -1.101    2.202    2.500|  0.555    0.842    0.093|   -0.210    0.420    0.000
30.1000    0.0119     74401616.0000|  18.873   2.990   -0.230     -0.044|  27.627    30.110    -0.510|     -1.108    2.215    2.500|  0.640    0.379    0.094|   -0.210    0.421    0.000
30.1360    0.0119     78405000.0000|  20.941   3.000   0.630     -0.970|  27.661    30.140    -0.505|     -1.115    2.230    2.500|  0.878    0.334    0.092|   -0.211    0.422    0.000
30.1720    0.0099     79097488.0000|  22.882   3.000   0.293     -0.868|  27.699    30.164    -0.502|     -1.123    2.246    2.500|  1.300    0.502    0.089|   -0.212    0.424    0.000
30.2080    0.0106     81508944.0000|  25.649   3.000   -0.482     -0.430|  27.769    30.195    -0.498|     -1.130    2.261    2.500|  1.772    0.369    0.080|   -0.213    0.425    0.000
30.2400    0.0104     84728824.0000|  20.562   2.917   -0.728     -0.480|  27.816    30.210    -0.496|     -1.137    2.274    2.500|  1.783    0.320    0.079|   -0.213    0.427    0.000
30.2760    0.0154     88333792.0000|  23.461   3.000   -1.908     -0.652|  27.919    30.230    -0.493|     -1.145    2.290    2.500|  1.899    0.023    0.078|   -0.214    0.428    0.000
30.3120    0.0101     91403672.0000|  18.536   3.000   -2.618     -0.601|  27.974    30.238    -0.491|     -1.153    2.305    2.500|  2.073    0.098    0.078|   -0.215    0.429    0.000
30.3480    0.0105     92691304.0000|  22.107   3.000   -0.483     -0.553|  28.082    30.246    -0.489|     -1.160    2.321    2.500|  2.519    -0.123    0.085|   -0.215    0.431    0.000
30.3800    0.0118     93192448.0000|  16.075   3.000   -1.532     -0.784|  28.173    30.239    -0.487|     -1.167    2.335    2.500|  2.402    -0.506    0.075|   -0.216    0.432    0.000
30.4160    0.0117     90610544.0000|  23.303   3.000   -0.513     -0.470|  28.279    30.219    -0.485|     -1.175    2.350    2.500|  2.083    -0.824    0.070|   -0.217    0.434    0.000
30.4520    0.0108     89886592.0000|  21.144   3.000   -0.562     -0.836|  28.356    30.185    -0.483|     -1.183    2.366    2.500|  2.033    -1.265    0.068|   -0.218    0.435    0.000
30.4880    0.0105     86820912.0000|  23.974   3.000   0.960     0.072|  28.430    30.139    -0.481|     -1.191    2.381    2.500|  2.010    -1.410    0.072|   -0.218    0.436    0.000
30.5200    0.0119     85069784.0000|  22.634   3.000   -0.925     -0.439|  28.498    30.094    -0.480|     -1.198    2.395    2.500|  1.677    -1.057    0.070|   -0.219    0.438    0.000
30.5560    0.0104     82011664.0000|  19.669   3.000   0.516     -0.898|  28.570    30.038    -0.477|     -1.206    2.411    2.500|  1.809    -1.048    0.061|   -0.220    0.439    0.000
30.5920    0.0114     79459968.0000|  17.140   3.000   -0.493     -0.500|  28.629    29.989    -0.475|     -1.214    2.427    2.500|  1.642    -1.549    0.074|   -0.220    0.441    0.000
30.6280    0.0107     77533848.0000|  21.686   3.000   0.841     -0.235|  28.685    29.911    -0.472|     -1.221    2.443    2.500|  1.464    -1.927    0.071|   -0.221    0.442    0.000
30.6600    0.0172     76222488.0000|  19.539   3.000   -0.508     -0.803|  28.730    29.847    -0.470|     -1.229    2.457    2.500|  1.323    -1.517    0.072|   -0.222    0.443    0.000
30.6960    0.0124     74210440.0000|  25.306   3.000   3.000     -0.179|  28.772    29.784    -0.467|     -1.237    2.473    2.500|  1.359    -1.304    0.061|   -0.222    0.445    0.000
30.7320    0.0100     73236248.0000|  20.973   3.000   2.169     -0.139|  28.812    29.736    -0.465|     -1.245    2.489    2.500|  1.648    -1.232    0.060|   -0.223    0.446    0.000
30.7680    0.0100     72773032.0000|  17.478   2.999   1.246     -0.266|  28.870    29.694    -0.462|     -1.253    2.505    2.500|  1.807    -0.590    0.065|   -0.224    0.448    0.000
30.8000    0.0118     73475952.0000|  19.000   2.951   1.374     -0.256|  28.904    29.676    -0.460|     -1.260    2.520    2.500|  1.548    -0.881    0.075|   -0.224    0.449    0.000
30.8360    0.0112     74332800.0000|  17.061   3.000   1.452     -0.482|  28.958    29.630    -0.457|     -1.268    2.536    2.500|  1.069    -1.061    0.075|   -0.225    0.450    0.000
30.8720    0.0113     73186016.0000|  18.283   3.000   -0.244     -0.070|  28.974    29.611    -0.455|     -1.276    2.552    2.500|  0.697    -0.868    0.079|   -0.226    0.452    0.000
30.9080    0.0119     71385672.0000|  18.700   3.000   0.709     0.151|  28.986    29.588    -0.451|     -1.284    2.568    2.500|  0.547    -0.668    0.082|   -0.227    0.453    0.000
30.9400    0.0113     70039248.0000|  18.719   3.000   1.175     -0.154|  28.982    29.565    -0.448|     -1.291    2.583    2.500|  0.033    -0.995    0.085|   -0.227    0.455    0.000
30.9760    0.0183     69632568.0000|  17.465   3.000   0.592     -0.085|  28.970    29.546    -0.446|     -1.300    2.599    2.500|  0.144    -0.933    0.071|   -0.228    0.456    0.000
31.0120    0.0109     69555992.0000|  23.771   3.000   2.285     0.063|  28.960    29.507    -0.443|     -1.308    2.616    2.500|  0.491    -1.432    0.063|   -0.229    0.457    0.000
31.0480    0.0121     70249664.0000|  17.689   3.000   2.061     -0.832|  28.957    29.453    -0.440|     -1.316    2.632    2.500|  0.709    -1.487    0.033|   -0.229    0.459    0.000
31.0800    0.0115     70844144.0000|  14.088   3.000   0.143     -1.000|  28.956    29.419    -0.438|     -1.323    2.647    2.500|  0.640    -1.426    0.080|   -0.230    0.460    0.000
31.1160    0.0105     72034112.0000|  14.846   2.977   -0.236     -0.085|  28.976    29.365    -0.435|     -1.332    2.663    2.500|  1.190    -0.831    0.058|   -0.231    0.462    0.000
31.1520    0.0102     72304928.0000|  20.424   3.000   0.354     0.366|  28.994    29.348    -0.433|     -1.340    2.680    2.500|  1.362    -0.565    0.048|   -0.232    0.463    0.000
31.1880    0.0112     73933320.0000|  15.490   3.000   -1.226     -0.758|  29.031    29.333    -0.430|     -1.348    2.697    2.500|  1.355    -0.439    0.058|   -0.232    0.464    0.000
31.2200    0.0125     75014024.0000|  19.455   3.000   0.119     -0.112|  29.074    29.326    -0.428|     -1.356    2.712    2.500|  1.671    -0.420    0.024|   -0.233    0.466    0.000
31.2560    0.0146     74447760.0000|  23.535   3.000   -0.610     -0.281|  29.129    29.313    -0.426|     -1.364    2.728    2.500|  1.413    -0.710    0.054|   -0.234    0.467    0.000
31.2920    0.0100     72710144.0000|  15.340   2.991   -0.714     -0.947|  29.158    29.307    -0.424|     -1.373    2.745    2.500|  1.200    -0.341    0.058|   -0.234    0.469    0.000
